Sampled,Tree1h0,Tree2h0,Tree3h0,Tree4h0,Tree5h0,Tree6h0,Tree7h0,Tree8h0,Tree12h0,Tree2h80,Tree3h80,Tree4h80,Tree6h80,Tree8h80,Tree12h80,Tree2h170,Tree3h170,Tree4h170,Tree6h170,Tree8h170,Tree12h170,Tree9h0,Tree10h0,Tree11h0,Tree9h80,Tree11h80,Tree9h170,Tree11h170
2017-07-21,2.813,18.004,1.86,9.369,0.726,3.157,5.629,1.355,0.231,3.715,0.777,3.134,1.293,0,0.17,2.559,0.752,1.358,0.456,0,0.069,1.638,0,0.109,0.247,0,0,0.76
2017-07-28,0.889,4.83,0.328,6.06,0.731,0.476,3.766,0,0,1.794,0,1.903,0.875,0,0,1.221,0.321,0.233,4.687,0.327,0,0.351,0.857,0,0.481,0,6.309,4.973
2017-08-04,0,2.122,0.517,4.207,0.398,0.509,1.234,0.145,1.155,0.062,0.078,0.329,0.2,0.189,0,0.901,0.211,0.839,0,0,0.127,0,0.506,0.711,0,0,0.47,0.947
2017-08-11,5.997,76.318,6.192,11.791,0.421,7.472,17.629,4.131,0,8.3,2.519,4.23,0.965,0.275,0,2.501,0.318,1.642,0,0.106,0.255,0.035,0,0,0.472,0,0,0
2017-08-18,10.601,166.912,36.796,126.478,3.65,36.319,32.747,4.767,3.08,21.493,12.316,33.102,7.234,0.554,0.568,7.83,2.383,6.915,1.951,0,0.035,0.688,0.039,0,0.155,0.136,0,0
2017-08-25,62.633,495.92,355.729,198.24,8.946,153.181,139.886,90.271,183.364,195.317,12.036,52.283,23.309,9.267,2.395,23.143,24.015,61.453,7.574,0,2.546,1.167,0.53,2.555,0.306,0.896,0.273,0
2017-09-01,0,47.196,0,34.845,10.833,34.21,5.528,0,11.734,27.657,29.531,17.697,5.197,0,2.416,7.45,8.203,2.814,3.433,1.631,2.733,0,0.616,0,0,0,0.265,0.363
